file_path,label
data\AbdomenCT\000000.jpeg,AbdomenCT
data\AbdomenCT\000001.jpeg,AbdomenCT
data\AbdomenCT\000002.jpeg,AbdomenCT
data\AbdomenCT\000003.jpeg,AbdomenCT
data\AbdomenCT\000004.jpeg,AbdomenCT
data\AbdomenCT\000005.jpeg,AbdomenCT
data\AbdomenCT\000006.jpeg,AbdomenCT
data\AbdomenCT\000007.jpeg,AbdomenCT
data\AbdomenCT\000008.jpeg,AbdomenCT
data\AbdomenCT\000009.jpeg,AbdomenCT
data\AbdomenCT\000010.jpeg,AbdomenCT
data\AbdomenCT\000011.jpeg,AbdomenCT
data\AbdomenCT\000012.jpeg,AbdomenCT
data\AbdomenCT\000013.jpeg,AbdomenCT
data\AbdomenCT\000014.jpeg,AbdomenCT
data\AbdomenCT\000015.jpeg,AbdomenCT
data\AbdomenCT\000016.jpeg,AbdomenCT
data\AbdomenCT\000017.jpeg,AbdomenCT
data\AbdomenCT\000018.jpeg,AbdomenCT
data\AbdomenCT\000019.jpeg,AbdomenCT
data\AbdomenCT\000020.jpeg,AbdomenCT
data\AbdomenCT\000021.jpeg,AbdomenCT
data\AbdomenCT\000022.jpeg,AbdomenCT
data\AbdomenCT\000023.jpeg,AbdomenCT
data\AbdomenCT\000024.jpeg,AbdomenCT
data\AbdomenCT\000025.jpeg,AbdomenCT
data\AbdomenCT\000026.jpeg,AbdomenCT
data\AbdomenCT\000027.jpeg,AbdomenCT
data\AbdomenCT\000028.jpeg,AbdomenCT
data\AbdomenCT\000029.jpeg,AbdomenCT
data\AbdomenCT\000030.jpeg,AbdomenCT
data\AbdomenCT\000031.jpeg,AbdomenCT
data\AbdomenCT\000032.jpeg,AbdomenCT
data\AbdomenCT\000033.jpeg,AbdomenCT
data\AbdomenCT\000034.jpeg,AbdomenCT
data\AbdomenCT\000035.jpeg,AbdomenCT
data\AbdomenCT\000036.jpeg,AbdomenCT
data\AbdomenCT\000037.jpeg,AbdomenCT
data\AbdomenCT\000038.jpeg,AbdomenCT
data\AbdomenCT\000039.jpeg,AbdomenCT
data\AbdomenCT\000040.jpeg,AbdomenCT
data\AbdomenCT\000041.jpeg,AbdomenCT
data\AbdomenCT\000042.jpeg,AbdomenCT
data\AbdomenCT\000043.jpeg,AbdomenCT
